name,price
Samsung Galaxy S22 Ultra 5G,$2.012.413
Samsung Galaxy S22 Plus 5G,$1.399.913
Samsung Galaxy S22 5G,$958.038
Samsung Galaxy S23 5G,$1.662.413
Samsung Galaxy S23 FE 5G,$1.312.413
Samsung Galaxy S23 Ultra 5G,$2.799.900
Samsung Galaxy S23 Plus 5G,$1.837.413
Samsung Galaxy S24 5G,$2.274.913
Samsung Galaxy S24 Ultra 5G,$3.599.900
Samsung Galaxy S24 Plus 5G,$2.537.413
Samsung Galaxy Z Fold 5 (2024),$3.412.413
Samsung Galaxy Tab S8 Plus,$2.499.900
Samsung Galaxy Z Fold 4 (2023),$2.799.900
Samsung Galaxy Tab S7,$1.574.913
Samsung Galaxy Tab S7 FE,$1.224.913
Samsung Galaxy Fold (2019),$1.999.900
Samsung Galaxy Tab S7 Plus,$1.599.900
Samsung Galaxy S21 5G,$999.900
iPhone 15 Pro Max,$4.799.900
iPhone 15 Pro,$3.899.900
iPhone 15 Plus,$3.499.900
iPhone 15,$2.999.900
iPhone SE 3ra Gen,
iPhone 14,$2.399.900
iPhone 14 Plus,$2.599.900
iPhone 14 Pro,$3.099.900
iPhone 14 Pro Max,$3.599.900
iPhone 13 Pro,$2.599.900
iPhone 13 Pro Max,$2.799.900
iPhone 13 Mini,$1.799.900
iPhone 13,$1.999.900
iPhone 12 Pro,$1.899.900
iPhone 12,$1.094.900
iPhone 12 Mini,$1.049.900
iPhone 12 Pro Max,$1.924.913
iPhone 11 Pro Max,$1.599.900
Apple Watch Series 6,$699.900
Apple Watch SE 2da Gen,$799.900
Apple Watch Series 7,$899.900
Apple Watch SE 2da Gen GPS + Cellular,$899.900
Apple Watch Series 7 GPS + Cellular,$999.900
Apple Watch Series 8,$1.199.900
APPLE WATCH SERIES 8 GPS + CELLULAR,$1.299.900
Apple Watch Series 9,
Apple Watch Ultra GPS + Cellular,$2.499.900
Apple Watch Ultra 2da Gen GPS + Cellular,
Huawei P30 Lite,
Motorola Moto E7,
Huawei Y6 (2019),$218.663
Xiaomi Redmi Note 9 Pro,$449.900
Xiaomi Redmi Note 9S,
Xiaomi Poco M3,$499.900
Xiaomi Redmi Note 10 Pro,$599.900
Vivo Y51,$399.900
Vivo Y21s,$299.900
Vivo Y53S,$474.900
Vivo Y33S,$499.900
Vivo V21,$524.913
Motorola Moto G8 Power Lite,
Xiaomi 11 Lite 5G NE,$642.900
Xiaomi Redmi Note 10S,$449.900
Motorola Moto G20,
Motorola Moto G60S,$524.913
Motorola Moto Edge 30,$774.900
Motorola Moto G22,$299.900
Motorola Moto Edge 20 Lite,$624.900
Xiaomi Redmi Note 11,$474.900
Xiaomi 11T Pro,$1.049.900
Xiaomi Mi 11 Lite 5G,$699.900
Motorola Moto G41,
Samsung Galaxy M54 5G (2023),$874.913
Samsung Galaxy S21 FE 5G,$899.900
Samsung Galaxy A54 5G (2023),$699.913
Samsung Galaxy A52S (2021),$699.913
Samsung Galaxy Tab S6 Lite,$649.900
Samsung Galaxy M23 (2022),$699.900
Samsung Galaxy S20 FE,$611.625
Samsung Galaxy A24 (2023),$524.900
Samsung Galaxy A51 (2019),$449.900
Samsung Galaxy A32 (2021),$374.900
Samsung Galaxy A13 (2022),$299.900
Samsung Galaxy A05,$218.663
Samsung Galaxy Note 20,$1.049.900
Samsung Galaxy S20 Plus,$999.900
Samsung Galaxy A20 (2019),$249.900
Samsung Galaxy A31 (2020),$369.900
Samsung Galaxy A04S,
Samsung Galaxy A03,
iPhone 11 Pro,$1.399.900
iPhone 11,$1.049.900
iPhone SE 2da Gen,
Motorola Moto G52,$549.900
Motorola Moto G71 5G,$549.900
Motorola Moto Edge 30 Neo,$649.900
Xiaomi 11T,$949.900
Motorola Moto Edge 20 Pro,$1.049.900
Xiaomi Poco M3 Pro 5G,$499.900
Vivo V25,$765.538
Oppo Reno 5 Lite,$399.900
Xiaomi Redmi Note 11S,$524.900
Xiaomi Mi 10T Pro,
Xiaomi 12 Lite,$899.900
Motorola Moto Edge 30 Ultra,
Xiaomi 12T,$1.094.900
Xiaomi Redmi Note 12 Pro Plus,$1.049.900
Motorola Moto Edge 40,$849.900
Motorola Moto G72,
Xiaomi Redmi Note 12,$474.900
Xiaomi 12 Pro,$1.094.900
Honor 90 Lite,
Honor X7,
Honor X7a,
Motorola Moto G84 5G,
Vivo Y22s,$429.900
Vivo Y35,$437.413
